
SQL> select saname as "이름", to_char(trunc(round(saspay * 10000, -2),-2),'999,999,999') as "년급여", to_char(trunc(round((saspay*10000)/12,-2),-2),'999,999,999') as "월급여",
  2   to_char(trunc(((saspay*10000)/12) * 0.5,0),'999,999,999') as "세금"
  3   from sawon;

이름                 년급여                   월급여                   세금
-------------------- ------------------------ ------------------------ ------------------------
홍길동                 50,000,000                4,166,700                2,083,333
한국남                 30,000,000                2,500,000                1,250,000
이순신                 35,000,000                2,916,700                1,458,333
이순라                 12,000,000                1,000,000                  500,000
놀기만                 23,000,000                1,916,700                  958,333
뷰별나                 16,000,000                1,333,300                  666,666
채시라                 34,000,000                2,833,300                1,416,666
이성계                 28,030,000                2,335,800                1,167,916
무궁화                 30,000,000                2,500,000                1,250,000
임꺽정                 22,000,000                1,833,300                  916,666
깨똥이                 45,000,000                3,750,000                1,875,000
공부만                 40,030,000                3,335,800                1,667,916
채송화                 17,030,000                1,419,200                  709,583
이미라                 25,030,000                2,085,800                1,042,916
공부해                 13,030,000                1,085,800                  542,916
뷰명한                 18,000,000                1,500,000                  750,000
무궁화                 11,000,000                  916,700                  458,333
최진실                 20,000,000                1,666,700                  833,333
김유신                  4,000,000                  333,300                  166,666
강감찬                 10,030,000                  835,800                  417,916

20 rows selected.

SQL>
